Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",此预设会设置正确的格式和尺寸。过长的动画可能会超出平台文件大小限制，某些内容可能不被特定平台允许。,此預設會設定正確的格式和尺寸。過長的動畫可能會超出平臺檔案大小限制，某些內容可能不被特定平臺允許。,Diese Voreinstellung legt das richtige Format und die richtigen Abmessungen fest. Sehr lange Animationen können die Dateigrößenbeschränkungen der Plattform überschreiten und einige Plattformen schränken bestimmte Inhalte ein.,Este ajuste preestablecido establece el formato y las dimensiones correctos. Las animaciones muy largas pueden exceder los límites de tamaño o de archivo de la plataforma y algunas plataformas restringen cierto contenido.,"Ce préréglage définit le format et les dimensions corrects. Les animations très longues peuvent dépasser les limites de taille de fichier de la plateforme, et certaines plateformes restreignent certains contenus.","Ez az előbeállítás beállítja a megfelelő formátumot és méreteket. A nagyon hosszú animációk meghaladhatják a platform fájlméret-korlátait, és egyes platformok korlátoznak bizonyos tartalmakat.",このプリセットは適切な形式とサイズを設定します。非常に長いアニメーションはプラットフォームのファイルサイズ制限を超える場合があります。また、一部のプラットフォームでは特定のコンテンツが制限される場合があります。,"이 프리셋은 올바른 포맷과 크기를 자동으로 설정합니다. 단, 애니메이션이 너무 길면 플랫폼의 파일 용량 제한을 초과할 수 있으며, 일부 플랫폼에서는 특정 콘텐츠의 사용을 제한할 수 있습니다.","Этот пресет устанавливает правильный формат и размеры. Очень длинные анимации могут превышать ограничения размера файла платформы, а некоторые платформы ограничивают определенный контент.","Essa predefinição aplica as formas e dimensões corretas. Animações muito longas podem exceder o limite de arquivos da plataforma, e certas plataformas restringem certos conteúdos.","Цей стиль встановлює правильний формат і розміри. Дуже довгі анімації можуть перевищувати обмеження розміру файлу платформи, а деякі платформи обмежують певний вміст.",Questa preimpostazione imposta il formato e le dimensioni corretti. Le animazioni molto lunghe potrebbero superare i limiti di dimensione dei file della piattaforma e alcune piattaforme limitano determinati contenuti.,การตั้งค่าของ Preset จะกำหนดรูปแบบและขนาดที่ถูกต้อง แอนิเมชันที่มีความยาวมากอาจเกินขีดจำกัดขนาดไฟล์ของแพลตฟอร์ม และบางแพลตฟอร์มอาจจำกัดเนื้อหาบางประเภท,Bu ön ayar doğru formatı ve boyutları doğru ayarlar. Çok uzun animasyonlar platformların boyut limitini aşabilir. Aynı zamanda bazı platformlar belli başlı içeriklere izin vermiyor olabilir.,"Denna förinställning ställer in rätt format och mått. Mycket långa animationer kan överskrida gränserna för plattformens filstorlek, och vissa plattformar begränsar visst innehåll.",Táto predvoľba nastaví správny formát a rozmery. Veľmi dlhé animácie môžu prekročiť limity veľkosti súboru platformy a niektoré platformy obmedzujú určitý obsah.
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,打开本地模型文件夹,開啟本地模型資料夾,Lokalen Modellordner öffnen,Abrir carpeta de modelo local,Ouvrir le dossier du modèle local,Nyissa meg a Helyi Modell mappát,ローカルモデルフォルダを開く,로컬 모델 폴더 열기,Открыть локальную папку модели,Abrir Pasta Local do Modelo,Відкрийте локальну папку моделі,Apri la cartella del modello locale,เปิดโฟลเดอร์โมเดลในเครื่อง,Yerel Model Dosyasını Aç,Öppna lokal modellmapp,Otvorte priečinok lokálneho modelu
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,打开角色文件夹,開啟角色資料夾,Charakterordner öffnen,Abrir carpeta de personajes,Ouvrir le dossier des personnages,Nyissa meg a Karakter mappát,キャラクターフォルダを開く,캐릭터 폴더 열기,Открыть папку персонажей,Abrir Pasta de Personagens,Відкрийте папку Character,Apri la cartella dei caratteri,เปิดโฟลเดอร์ตัวละคร,Karakter Dosyasını Aç,Öppna teckenmappen,Otvorte priečinok znakov
MainMenu.Info.Log,Open Log Folder,打开程序运行日志,開啟程式執行日誌,Protokollordner öffnen,Abrir carpeta de registro,Ouvrir le dossier du journal,Nyissa meg a Napló mappát,ログフォルダを開く,로그 폴더 열기,Открыть папку журнала,Abrir Pasta Logs,Відкрити папку журналу,Apri la cartella registro,เปิดโฟลเดอร์ Log,Sistem Günlüğü Dosyasını Aç,Öppna Loggmapp,Otvorte priečinok denníka
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,使用全局颜色表,使用全域顏色表,Verwendung der globalen Farbtabelle,Usando tabla de colores globales,Utilisation de la table de couleurs globale,Globális színtábla használata,グローバルカラーテーブルを使用,전역 색상표 사용,Использование глобальной таблицы цветов,Usar Tabela Global de Cores,Використання глобальної таблиці кольорів,Utilizzo della tabella dei colori globale,การใช้ตารางสีสากล,Küresel Renk Tablosunu Kullanarak,Använder Global Color Table,Použitie globálnej tabuľky farieb
MainMenu.Editor.ExportStatic,Export Static Image,导出静态图片,匯出靜態圖片,Statisches Bild exportieren,Exportar imagen estática,Exporter une image statique,Statikus kép exportálása,静止画像を書き出し,이미지 내보내기,Экспорт статического изображения,Exportar Imagem Estática,Експорт статичного зображення,Esporta immagine statica,Export ภาพนิ่ง,Düz Resim Dışarı Aktar,Exportera statisk bild,Exportovať statický obrázok
MainMenu.Editor.Player.Speed,Speed,播放速度,播放速度,Geschwindigkeit,Velocidad,Vitesse,Sebesség,速度,속도,Скорость,Velocidade,швидкість,Velocità,ความเร็ว,Hız,Hastighet,Rýchlosť
MainMenu.Settings.StaticImageSettings,Static Image Settings,静态图片输出设置,靜態圖片匯出設定,Statische Bildeinstellungen,Configuración de imagen estática,Paramètres de l'image statique,Statikus képbeállítások,静止画設定,이미지 설정,Настройки статического изображения,Opções de Imagem Estática,Параметри статичного зображення,Impostazioni dell'immagine statica,การตั้งค่าภาพนิ่ง,Düz Resim Ayarları,Statiska bildinställningar,Nastavenia statického obrazu
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,重置静态图片输出设置,重置靜態圖片匯出設定,Statische Bildeinstellungen zurücksetzen,Restablecer configuración de imagen estática,Réinitialiser les paramètres de l'image statique,Állítsa vissza a statikus képbeállításokat,静止画設定をリセット,이미지 설정 초기화,Сбросить настройки статического изображения,Resetar Opções de Imagem Estática,Скинути параметри статичного зображення,Ripristina le impostazioni dell'immagine statica,รีเซ็ตการตั้งค่าภาพนิ่ง,Düz Resim Ayarlarını sıfırla,Återställ inställningar för statisk bild,Obnoviť nastavenia statického obrazu
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,取样频率,取樣頻率,Abtastrate,Tasa de muestreo,Taux d'échantillonnage,Mintavételi sebesség,サンプリングレート,샘플링 속도,Частота выборки,Taxa de Amostragem,Частота дискретизації,Frequenza di campionamento,Sampling Rate,Örnekleme Oranı,Samplingsfrekvens,Vzorkovacia frekvencia
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,这个选项允许您在内置贴图和自定义贴图间切换。,這個選項允許您在內建貼圖和自訂貼圖間切換。,Mit diesem Schalter kannst du zwischen der internen und der benutzerdefinierten Textur wechseln,Este interruptor le permite cambiar entre la textura interna y la personalizada.,Cette option vous permet de basculer entre la texture interne et la texture personnalisée,Ezzel a kapcsolóval válthat a belső és az egyéni textúra között,この操作で初期テクスチャとカスタムテクスチャを切り替えられます,이 토글을 사용하여 기본 텍스처와 커스텀 텍스처 사이를 전환할 수 있습니다.,Этот переключатель позволяет переключаться между внутренней и пользовательской текстурой.,Essa opção permite você mudar entre texturas internas e customizadas,Цей перемикач дозволяє перемикатися між внутрішньою та спеціальною текстурою,Questo interruttore ti consente di passare dalla texture interna a quella personalizzata,Toggle นี้ช่วยให้คุณสลับระหว่าง Internal Texture และ Custom Texture ได้,"Bu ayar, uygulama içinde bulunan ve özel olarak eklenen dokular arasında geçiş yapmanızı sağlar",Denna växling låter dig växla mellan den interna och den anpassade texturen,Tento prepínač umožňuje prepínať medzi vnútornou a vlastnou textúrou
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,编辑自定义贴图文件夹中的PNG图像，保留透明度保存且不要改变尺寸。,編輯自訂貼圖資料夾中的PNG影像，保留透明度儲存且不要改變尺寸。,Bearbeite die PNGs im Ordner „Custom Texture“. Speichere mit Transparenz und ändere die Bildgröße nicht,Edita los PNG en la carpeta Textura personalizada. Guarda con transparencia y no modifiques el tamaño de la imagen.,Modifiez les fichiers PNG dans le dossier des textures personnalisées. Enregistrez avec la transparence et ne modifiez pas les dimensions de l'image,"Szerkessze a PNG-ket az Egyéni textúra mappában. Mentse átlátszósággal, és ne módosítsa a képméretet",Custom Textureフォルダ内のPNGを編集してください。透過状態で保存し、画像サイズは変更しないでください,Custom Texture 폴더에서 PNG를 편집합니다. 저장 시 투명도를 유지하고 이미지 크기를 변경하지 마세요.,Отредактируйте PNG в папке «Пользовательская текстура». Сохраняйте с прозрачностью и не изменяйте размер изображения.,Edite os PNGs na pasta de Texturas Customizadas. Salve com transparência e não modifique o tamanho da imagem ,Відредагуйте файли PNG у папці Custom Texture. Зберігайте з прозорістю та не змінюйте розмір зображення,Modifica i PNG nella cartella Texture personalizzata. Salva con trasparenza e non modifica le dimensioni dell'immagine,แก้ไขไฟล์ PNG ในโฟลเดอร์ Custom Texture และบันทึกโดยตั้งค่าความโปร่งใสไว้ โดยไม่แก้ไขขนาดของ PNG,PNG'leri Özel Doku dosyasında düzenleyin. Transparant olarak resmi kaydedin ve yüksekliğini/genişliğini değiştirmeyin,Redigera PNG:erna i mappen Custom Texture. Spara med genomskinlighet och ändra inte bildstorleken,Upravte súbory PNG v priečinku Custom Texture. Uložte s priehľadnosťou a nemeňte veľkosť obrázka
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",编辑完成后，点击此按钮应用修改。,編輯完成後，點選此按鈕應用修改。,"Nachdem du deine Änderungen gespeichert hast, klicke auf diesen Knopf, um die Änderungen auf dein Modell anzuwenden.","Después de guardar tus cambios, presiona este botón para aplicar los cambios a tu modelo.","Après avoir enregistré vos modifications, cliquez sur ce bouton pour appliquer les modifications à votre modèle.","A módosítások mentése után kattintson erre a gombra, hogy alkalmazza a módosításokat a modellen.",編集を保存した後、このボタンを押すとモデルに変更が適用されます,편집 내용을 저장한 후 이 버튼을 클릭하면 모델에 변경 사항이 적용됩니다.,"После сохранения изменений нажмите эту кнопку, чтобы применить изменения к вашей модели.","Após salvar suas alterações, clique nesse botão para aplicar as alterações no seu modelo.","Після збереження змін натисніть цю кнопку, щоб застосувати зміни до моделі.","Dopo aver salvato le modifiche, fai clic su questo pulsante per applicare le modifiche al tuo modello.",หลังจากบันทึกการแก้ไขแล้ว ให้คลิกปุ่มนี้เพื่อปรับเปลี่ยนโมเดลของคุณตามความเปลี่ยนแปลง,Düzenlemeniz bittikten sonra bu tuşa basıp değişikliklerin modele uygulanmasını sağlayın.,När du har sparat dina ändringar klickar du på den här knappen för att tillämpa ändringarna på din modell.,Po uložení úprav kliknutím na toto tlačidlo aplikujte zmeny na svoj model.
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,保存您的角色。保存按钮在左侧角色列表下方。,儲存您的角色。儲存按鈕在左側角色列表下方。,"Speichere deinen Charakter. Der ""Speichern""-Knopf befindet sich unterhalb der Charakterliste auf der linken Seite der Oberfläche.",Guarda tu personaje. El botón para guardar se encuentra debajo de la lista de personajes en el lado izquierdo de la interfaz.,Enregistrez votre personnage. Le bouton Enregistrer est situé sous la liste des personnages sur le côté gauche de l'interface.,Mentsd meg a karaktered. A mentés gomb a karakterlista alatt található a felület bal oldalán.,キャラクターを保存してください。保存ボタンは画面左側のキャラクターリストの下にあります,캐릭터를 저장하세요. 저장 버튼은 인터페이스 왼쪽의 캐릭터 목록 아래에 있습니다.,Сохраните своего персонажа. Кнопка сохранения расположена под списком персонажей в левой части интерфейса.,Salve seu personagem. O botão de salvar está localizado abaixo da lista de personagens no canto esquerdo da interface.,Збережіть свого персонажа. Кнопка збереження розташована під списком символів у лівій частині інтерфейсу.,Salva il tuo personaggio. Il pulsante Salva si trova sotto l'elenco dei personaggi sul lato sinistro dell'interfaccia.,บันทึกตัวละครของคุณ โดยปุ่มบันทึกจะอยู่ด้านล่างรายชื่อตัวละครทางด้านซ้ายของหน้าจอ,"Karakterinizi kaydedin. Kaydetme tuşu arayüzün solunda, karakter listesinin altında bulunur.",Rädda din karaktär. Spara-knappen finns under teckenlistan på vänster sida av gränssnittet.,Zachráňte svoju postavu. Tlačidlo uloženia sa nachádza pod zoznamom znakov na ľavej strane rozhrania.
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,请在使用前完整阅读手册使用自定义贴图章节。,請在使用前完整閱讀手冊使用自訂貼圖章節。,"Bitte lies das Handbuch „Verwenden benutzerdefinierter Texturen“, bevor du diese Funktion verwendest.",Por favor lee el manual para usar texturas personalizadas antes de utilizar esta función.,Veuillez lire le manuel d'utilisation des textures personnalisées avant d'utiliser cette fonctionnalité.,"Kérjük, olvassa el az Egyéni textúrák használata kézikönyvet a funkció használata előtt.",この機能を使用する前に「カスタムテクスチャの使用」マニュアルを確認してください,이 기능을 사용하기 전에 사용자 정의 텍스처 사용 매뉴얼을 읽어주세요.,Перед использованием этой функции прочтите руководство «Использование пользовательских текстур».,Por favor leia o manual de Customização de Texturas antes de usar essa opção.,"Перш ніж використовувати цю функцію, прочитайте посібник «Використання власних текстур».",Si prega di leggere il manuale Utilizzo di texture personalizzate prima di utilizzare questa funzione.,โปรดอ่านคู่มือการใช้งาน Custom Texture ก่อนใช้งาน feature นี้,Lütfen bu özelliği kullanmadan önce Özel Doku Kullanma rehberini okuyun.,Läs manualen Använda anpassade texturer innan du använder den här funktionen.,Pred použitím tejto funkcie si prečítajte príručku Používanie vlastných textúr.
MainMenu.Editor.Texture.CustomTexture,Custom Texture,自定义贴图,自訂貼圖,Benutzerdefinierte Textur,Textura personalizada,Textures personnalisée,Egyedi textúra,カスタムテクスチャ,사용자 정의 텍스처,Пользовательская текстура,Texturas Customizadas,Спеціальна текстура,Trama personalizzata,Custom Texture,Özel Doku,Anpassad textur,Vlastná textúra
MainMenu.Editor.Texture.Step1,Step 1,第一步,第一步,Schritt 1,Paso 1,Étape 1,1. lépés,ステップ 1,1단계,Шаг 1,Etapa 1,Крок 1,Passaggio 1,ขั้นตอนที่ 1,Adım 1,Steg 1,Krok 1
MainMenu.Editor.Texture.Step2,Step 2,第二步,第二步,Schritt 2,Paso 2,Étape 2,2. lépés,ステップ 2,2단계,Шаг 2,Etapa 2,Крок 2,Passaggio 2,ขั้นตอนที่ 2,Adım 2,Steg 2,Krok 2
MainMenu.Editor.Texture.Step3,Step 3,第三步,第三步,Schritt 3,Paso 3,Étape 3,3. lépés,ステップ 3,3단계,Шаг 3,Etapa 3,Крок 3,Passaggio 3,ขั้นตอนที่ 3,Adım 3,Steg 3,Krok 3
MainMenu.Editor.Texture.Step4,Step 4,第四步,第四步,Schritt 4,Paso 4,Étape 4,4. lépés,ステップ 4,4단계,Шаг 4,Etapa 4,Крок 4,Passaggio 4,ขั้นตอนที่ 4,Adım 4,Steg 4,Krok 4
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,修复选中图集部件边缘,修復選中圖集部件邊緣,Ausgewählte Kontur korrigieren,Corregir el contorno seleccionado,Corriger le contour sélectionné,Javítsa ki a kiválasztott körvonalat,選択した輪郭を修正,선택한 외곽선 수정,Исправить выбранный контур,Corrigir Outline Selecionada,Виправити вибраний контур,Correggi il contorno selezionato,แก้ไขเส้นร่างที่เลือก,Seçili Atlasları Güncelle,Fixa vald kontur,Opravte vybranú osnovu
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,重置选中图集,重置選中圖集,Ausgewählten Atlas zurücksetzen,Corregir el atlas seleccionado,Réinitialiser l'Atlas sélectionné,Állítsa vissza a kiválasztott atlaszt,選択したアトラスをリセット,선택한 이미지 시트 초기화,Сбросить выбранный атлас,Resetar Atlas Selecionada,Скинути вибраний атлас,Reimposta l'atlante selezionato,รีเซ็ต Atlas ที่เลือก,Seçili Atlasları Sıfırla,Återställ vald atlas,Obnoviť vybratý atlas
MainMenu.Editor.Texture.TextureUtility,Texture Utility,贴图工具,貼圖工具,Textur-Werkzeug,Utilidad de texturas,Utilitaire des textures,Texture Utility,テクスチャツール,텍스처 도구,Утилита текстур,Utilitários de Textura,Утиліта текстур,Utilità delle texture,Texture Utility,Doku Hizmetleri,Texture Utility,Textúra Utility
MainMenu.Editor.Texture.SelectAll,Select All,全选,全選,Alle auswählen,Seleccionar todo,Sélectionner tout,Válassza az Összes lehetőséget,すべて選択,전체 선택,Выбрать все,Selecionar Todos,Виберіть усі,Seleziona tutto,เลือกทั้งหมด,Hepsini seç,Välj Alla,Vyberte možnosť Všetky
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,反选,反選,Auswahl umschalten,Alternar selección ,Basculer la sélection,Kiválasztás váltása,選択を切り替え,선택 전환,Переключить выбор,Ativar Seleção,Перемкнути вибір,Attiva/Disattiva selezione,การเลือก Toggle,Tersini Seç,Växla val,Prepnúť výber
MainMenu.Editor.Texture.AtlasList,Atlas List,图集列表,圖集列表,Atlas-Liste,Lista de atlas,Liste de l'Atlas,Atlasz lista,アトラス一覧,이미지 시트 목록,Список Атласов,Lista de Atlas,Список атласу,Elenco dell'Atlante,รายการ Atlas,Atlas Listesi,Atlas lista,Zoznam Atlasu
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,此操作将把所选图集页面重置为内置版本。未保存的修改将丢失且无法恢复。是否继续？,此操作將把所選圖集頁面重置為內建版本。未儲存的修改將會遺失且無法恢復。是否繼續？,Dadurch werden die ausgewählten Atlasseiten auf die integrierten Versionen zurückgesetzt. Alle nicht gespeicherten Änderungen gehen verloren und können nicht wiederhergestellt werden. Weitermachen?,Esto restablecerá las páginas del atlas seleccionadas a las versiones integradas. Cualquier edición no guardada se perderá y no se podrá recuperar. ¿Continuar?,Cela réinitialisera les pages d'atlas sélectionnées vers les versions d'origine. Toute modification non enregistrée sera perdue et irrécupérable. Continuer ?,"Ezzel visszaállítja a kiválasztott atlaszoldalakat a beépített verziókra. A nem mentett szerkesztések elvesznek, és nem állíthatók vissza. Folytatja?",選択したアトラスページを初期状態にリセットします。未保存の編集は失われ、復元できません。続行しますか？,선택한 이미지 시트 페이지를 기본(내장) 버전으로 초기화합니다. 저장하지 않은 편집 내용은 사라지며 복구할 수 없습니다. 계속하시겠습니까?,При этом выбранные страницы атласа будут сброшены до встроенных версий. Любые несохраненные изменения будут потеряны и не подлежат восстановлению. Продолжать?,Isso irá resetar as páginas do atlas selecionadas para as versões pré-criadas. Qualquer alteração não salva será perdida e não poderá ser recuperada. Continuar?,Це скине вибрані сторінки атласу до вбудованих версій. Будь-які незбережені зміни буде втрачено та не можна буде відновити. Продовжити?,Ciò ripristinerà le pagine dell'atlante selezionate alle versioni integrate. Eventuali modifiche non salvate andranno perse e non potranno essere recuperate. Continuare?,การดำเนินการนี้จะรีเซ็ตหน้า Atlas ที่เลือกกลับไปเป็นเวอร์ชันเริ่มต้น การแก้ไขที่ยังไม่ได้บันทึกจะสูญหายและไม่สามารถกู้คืนได้ ต้องการดำเนินการต่อหรือไม่?,Değiştirilen Atlas'ları gömülü versiyonlardaki hallerine geri getirecek. Kaydedilmeyen düzenlemeler kaybolacak ve geri getirilemeyecektir. Devam edilsin mi?,Detta kommer att återställa de valda atlassidorna till de inbyggda versionerna. Alla osparade redigeringar går förlorade och kan inte återställas. Fortsätta?,Toto obnoví vybrané stránky atlasu na vstavané verzie. Všetky neuložené úpravy sa stratia a nebudú sa dať obnoviť. Pokračovať?
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,色板算法,調色盤演算法,Palettenalgorithmus,Algoritmo de paleta,Algorithme de palette,Paletta algoritmus,パレットアルゴリズム,색상 추출,Алгоритм палитры,Algoritmo de Paleta,Алгоритм палітри,Algoritmo della tavolozza,Palette Algorithm,Palet Algoritması,Palettalgoritm,Algoritmus palety
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,操作会修改并覆盖选中的 PNG 图集文件以修复白边。此操作无法撤销，是否继续？,操作會修改並覆蓋選中的 PNG 圖集檔案以修復白邊。此操作無法撤銷，是否繼續？,Dadurch werden die ausgewählten Texturdateien überschrieben und können nicht rückgängig gemacht werden. Fortfahren?,Esto sobrescribirá los archivos de textura seleccionados y no se podrá deshacer. ¿Continuar?,Cela écrasera les fichiers des textures sélectionnés et ne pourra pas être annulé. Continuer ?,"Ez felülírja a kiválasztott textúrafájlokat, és nem vonható vissza. Folytatja?",選択したテクスチャファイルを上書きします。この操作は元に戻せません。続行しますか？,"선택한 텍스처 파일을 덮어쓰며, 이 작업은 되돌릴 수 없습니다. 계속하시겠습니까?",Это приведет к перезаписи выбранных файлов текстур и не может быть отменено. Продолжать?,Isso irá sobrescrever os arquivos de textura e não poderá ser desfeito. Continuar?,"Це перезапише вибрані файли текстури, і цю дію неможливо скасувати. Продовжити?",Ciò sovrascriverà i file di texture selezionati e non può essere annullato. Continuare?,การดำเนินการนี้จะเขียนทับไฟล์ Texture ที่เลือกไว้ โดยไม่สามารถย้อนกลับมาแก้ไขได้ ต้องการดำเนินการต่อหรือไม่?,Doku dosyalarının üstüne dosyalardaki dokular yazılacak. Devam edilsin mi?,Detta kommer att skriva över de valda texturfilerna och kan inte ångras. Fortsätta?,Týmto sa prepíšu vybrané súbory textúr a nemožno to vrátiť späť. Pokračovať?
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","部分语言由我们的社区翻译或由机器翻译协助完成，因此质量可能有所不同。

您可在设置中更改语言。

请在{0}上查看我们的社区贡献者。

想要参与？欢迎通过{1}加入我们。","部分語言由社群翻譯或由機器翻譯協助完成，因此品質可能有所不同。

您可在設定中變更語言。

請在{0}上查看我們的社群貢獻者。

想要參與？歡迎透過{1}加入我們。","Einige Sprachen werden von unserer Community übersetzt oder durch maschinelle Übersetzung unterstützt, daher kann die Qualität variieren.

Sie können die Sprache in den Einstellungen ändern.

Sehen Sie sich unsere {0} an.

Möchten Sie einen Beitrag leisten? Begleiten Sie uns auf {1}.","Algunos idiomas son traducidos por nuestra comunidad o asistidos por traducción automática, por lo que la calidad puede variar.

Puedes cambiar el idioma en Configuración.

Vea nuestros {0}.

¿Quieres contribuir? Únase a nosotros en {1}.","Certaines langues sont traduites par notre communauté ou assistées par la traduction automatique, la qualité peut donc varier.

Vous pouvez changer la langue dans les Paramètres.

Consultez nos {0}.

Vous voulez contribuer ? Rejoignez-nous sur {1}.","Egyes nyelveket közösségünk fordít, vagy gépi fordítás segíti elő, így a minőség változhat.

A nyelvet a Beállításokban módosíthatja.

Tekintse meg {0}.

Szeretnél hozzájárulni? Csatlakozz hozzánk a {1}.","一部の言語はコミュニティによる翻訳、または機械翻訳の支援を受けた翻訳のため、品質にばらつきがある場合があります。

言語は設定で変更できます。

{0} をご覧ください。

翻訳に参加したい場合は、{1} にご参加ください。","일부 언어는 커뮤니티에서 번역되거나 기계 번역의 도움을 받기 때문에 품질이 다를 수 있습니다.

설정에서 언어를 변경할 수 있습니다.

{0}를 확인하세요.

기여하고 싶나요? {1}에 참여하세요.","Некоторые языки переводятся нашим сообществом или с помощью машинного перевода, поэтому качество может отличаться.

Вы можете изменить язык в настройках.

См. наших {0}.

Хотите внести свой вклад? Присоединяйтесь к нам в {1}.","Alguns idiomas são traduzidos pela nossa comunidade ou assistidos por tradução automática, portanto a qualidade pode variar.

Você pode alterar o idioma em Configurações.

Veja nossos {0}.

Quer contribuir? Junte-se a nós no {1}.","Деякі мови перекладаються нашою спільнотою або за допомогою машинного перекладу, тому якість може відрізнятися.

Ви можете змінити мову в налаштуваннях.

Дивіться {0}.

Хочете зробити внесок? Приєднуйтесь до нас на {1}.","Alcune lingue sono tradotte dalla nostra community o assistite dalla traduzione automatica, quindi la qualità può variare.

Puoi cambiare la lingua in Impostazioni.

Vedi i nostri {0}.

Vuoi contribuire? Unisciti a noi su {1}.","บางภาษาได้รับการแปลโดยชุมชนของเราหรือได้รับความช่วยเหลือจากการแปลด้วยคอมพิวเตอร์ ดังนั้นคุณภาพอาจแตกต่างกันไป

คุณสามารถเปลี่ยนภาษาได้ในการตั้งค่า

ดู {0}

ต้องการที่จะมีส่วนร่วม? เข้าร่วมกับเราบน {1}.","Bazı diller topluluğumuz tarafından çevrilmekte veya makine çevirisiyle desteklenmektedir, dolayısıyla kalite farklılık gösterebilir.

Dili Ayarlar'dan değiştirebilirsiniz.

{0} bakın.

Katkıda bulunmak ister misiniz? {1}.","Vissa språk översätts av vår community eller assisteras av maskinöversättning, så kvaliteten kan variera.

Du kan ändra språket i Inställningar.

Se våra {0}.

Vill du bidra? Gå med oss ​​på {1}.","Niektoré jazyky sú preložené našou komunitou alebo pomocou strojového prekladu, takže kvalita sa môže líšiť.

Jazyk môžete zmeniť v Nastaveniach.

Pozrite si naše {0}.

Chcete prispieť? Pridajte sa k nám na {1}."
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,GitHub 上的社区贡献者,GitHub 上的社群貢獻者,Community-Mitwirkende auf GitHub,contribuyentes de la comunidad en GitHub,contributeurs de la communauté sur GitHub,közösségi közreműködők a GitHubon,GitHub のコミュニティ貢献者,GitHub의 커뮤니티 기고자,участники сообщества на GitHub,colaboradores da comunidade no GitHub,учасників спільноти на GitHub,contributori della community su GitHub,ผู้ร่วมให้ข้อมูลในชุมชนบน GitHub,GitHub'a katkıda bulunan topluluk üyeleri,community-bidragsgivare på GitHub,komunitných prispievateľov na GitHub
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,不再显示,不再顯示,Zeige das nicht noch einmal,No vuelvas a mostrar esto,Ne plus montrer ça,Ne mutasd ezt újra,今後表示しない,다시 표시하지 않음,Больше не показывать это,Não mostre isso de novo,Не показувати це знову,Non mostrarlo più,อย่าแสดงสิ่งนี้อีก,Bunu bir daha gösterme,Visa inte detta igen,Toto už nezobrazovať
MainMenu.Editor.AssetTypeWS,Workshop,创意工坊,工作坊,Werkstatt,Taller,Atelier,Műhely,ワークショップ,작업장,Мастерская,Oficina,Майстерня,Officina,การประชุมเชิงปฏิบัติการ,Atölye,Verkstad,Workshop
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,将模型发布至创意工坊,將模型發佈到Workshop,Modell im Workshop veröffentlichen,Publicar modelo en taller,Publier le modèle dans l'atelier,Modell közzététele a műhelyben,モデルをワークショップに公開する,모델을 워크샵에 게시,Публикация модели в мастерской,Publicar modelo no workshop,Опублікувати модель у Workshop,Pubblica il modello nel workshop,เผยแพร่โมเดลไปยังเวิร์กช็อป,Modeli Atölyede Yayınla,Publicera Model to Workshop,Publikovať model do workshopu
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,将角色发布至创意工坊,將角色發佈到創意工坊,Charakter im Workshop veröffentlichen,Publicar personaje en el taller,Publier un personnage dans l'atelier,Karakter közzététele a műhelyben,キャラクターをワークショップに公開する,창작마당에 캐릭터 게시,Публикация персонажа в Мастерской,Publicar personagem no workshop,Опублікувати персонажа в майстерні,Pubblica il personaggio nel Workshop,เผยแพร่ตัวละครไปยังเวิร์กชอป,Karakteri Atölyeye Yayınla,Publicera karaktär till verkstad,Publikovať postavu do dielne
